
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
RuntimeBroker.exe             8516 Console                    1     46,236 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   8636 Console                    1     17,016 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
SearchIndexer.exe             8656 Services                   0     35,200 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:04 N/A                                                                     
svchost.exe                   9092 Services                   0     33,080 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
RuntimeBroker.exe             9856 Console                    1     30,980 K Running         WMYC\shado                                              0:00:00 OLEChannelWnd                                                           
ApplicationFrameHost.exe      9960 Console                    1     43,568 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
svchost.exe                   8572 Services                   0     12,112 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  9432 Services                   0     37,960 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                   6812 Services                   0     10,636 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
smartscreen.exe               6260 Console                    1     13,068 K Unknown         WMYC\shado                                              0:00:00 N/A                                                                     
SecurityHealthSystray.exe     9752 Console                    1     17,632 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
SecurityHealthService.exe     9804 Services                   0     29,060 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vmtoolsd.exe                  6632 Console                    1     24,588 K Running         WMYC\shado                                              0:00:00 N/A                                                                     
OneDrive.exe                  9528 Console                    1    241,588 K Running         WMYC\shado                                              0:00:18 GDI+ Window (OneDrive.exe)                                              
SearchProtocolHost.exe        9076 Services                   0     17,796 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                     
FileCoAuth.exe               10764 Console                    1     33,220 K Running         WMYC\shado                                              0:00:00 OleMainThreadWndName                                                    
taskhostw.exe                10976 Console                    1     29,320 K Running         WMYC\shado                                              0:00:00 Task Host Window                                                        
svchost.exe                  10372 Services                   0     15,384 K Unknown         NT AUTHORITY\Local Service                              0:00:00 N/A                                                                     
